text,sentiment,text_clean
sudah kesekian kali dikecewakan lazada. ternyata pihak lazada tidak teliti dengan seleranya yg kebanyakan penipu. pesen apa yg datang lain.udah gitu proses pengembalian juga ribet Padahal sudah ikut prosedur. nyatanya tetap saja tidak bisa diproses dengan sangat menyesal keluarga besar ku dan hampir satu kampungku uninstal lazada karena para warga juga sama merasa ditipu,negatif,sekian kali kecewa lazada lazada teliti selera banyak tipu sen lainudah proses kembali ribet prosedur proses sesal keluarga ku kampung uninstal lazada warga tipu
ahhhhh ketagihan belanja di oyennn.,positif,ahhhhh tagih belanja oyennn
kenapa sekarang jadi susah log in di shopee,netral,susah log in shopee
shopee terbaik di indonesia,positif,shopee baik indonesia
proses pengembalian dana cepat ketika komplain barang rusak.,positif,proses kembali dana cepat komplain barang rusak
makin update makin sampah,negatif,update sampah
"bisa bisanya ampir kenak tipu mengatas namakan shopee,mereka tau dari ulasan,untung sepupu kurir jdi tau ini penipuan,yakin dari shopee karna dia ngirim fto barang yg kuulas dishopee",negatif,bisa ampir nak tipu atas nama shopeemereka tau ulasanuntung sepupu kurir tau penipuanyakin shopee ngirim fto barang ulas dishopee
belanja di shopee mantap gk pernah kecewa selama belanja di Shopee. Terima kasih Shopee,positif,belanja shopee mantap gk kecewa belanja shopee terima kasih shopee
pokok e joss shopee indonesia,positif,pokok e joss shopee indonesia
mantap barang dn waktu kirim betul betul mantap,positif,mantap barang dn kirim mantap
simpel . murah asal amanah selamanya,positif,simpel murah amanah
Mantap ☺️,positif,mantap
kalau menurut aku. Selama aku belanja online di shopee gk pernah ngecewain sama sekali ya👍👍,positif,belanja online shopee gk ngecewain ya
membantu kita,positif,bantu
"sangat membantu mencari kebutuhan ,,lebih simpel,praktis,dll",positif,bantu cari butuh simpelpraktisdll
sekarang mw cek out susah banget bnyk bgt larangan nya,positif,mw cek out susah banget larang nya
sekarang shoope banyak penipu .saya udah berapa kali pesan produk tapi barang nya kosong tolong pihak shoope di tindak lanjuti,negatif,shoope tipu udah kali pesan produk barang nya kosong tolong shoope tindak lanjut
s pinjam nya ga bisa di aktifasi percuma maaf aku hapus saja apk nya,negatif,s pinjam nya aktifasi maaf hapus aplikasi nya
mudah..,positif,mudah
Shopee i LIKE it,positif,shopee i like it
mantab murah² barang nya,positif,mantab murah barang nya
sudah langganan belanja menggunakan Sophie.,positif,langgan belanja sophie
mantap penampilannya,positif,mantap tampil
aplikasi yang sangat membantu. sejak ada shopee jadi lebih hemat krn lebih murah dari toko offline.,positif,aplikasi bantu shopee hemat murah toko offline
sampah scam penipu,negatif,sampah scam tipu
seringw gratis ongkir...,positif,seringw gratis ongkir
"sejauh ini aman dan terpercaya, memudahkan berbelanja 👍👍",positif,aman percaya mudah belanja
sangat membantu dan sesuai dgn harapan 👍👍👍👍👍,positif,bantu sesuai harap
dapat mempermuda belanja apa aja. semoga aja gak ada penipu nya sperti aplikasi lain,positif,muda belanja moga tipu nya sperti aplikasi
terpercaya sih,positif,percaya sih
kim?,negatif,kim
memudahkan untuk belanja,positif,mudah belanja
saya sangat menyukai shope tp tolong app nya jgn berat,positif,suka shope tp tolong app nya berat
"Pasarnya Pasar, pokoknya mbak shopee Te O Pe",positif,pasar pasar pokok mbak shopee te pe
pengiriman lama untuk diluar kota Kalimantan malah lewat estimasi pengiriman mohon kepada pihak shopee setiap pengiriman harus dipercepat apalagi saat checkout mode pembayaran via transfer tetapi barang lama sampai saya sudah beberapa kali mengalami barang lama sampai tiba-tiba di returd dengan catatan penerima menolak menerima paket padahal paket tersebut belum sampai dialamat tujuan mohon kepada pihak shopee setiap ada pengiriman barang dipercepat proses pengirimannya,negatif,kirim luar kota kalimantan estimasi kirim mohon shopee kirim cepat checkout mode bayar via transfer barang kali alami barang tibatiba returd catat terima tolak terima paket paket alamat tuju mohon shopee kirim barang cepat proses kirim
pelayanan terbaik belanja online mudah di aplikasikan ga ribet bertanggung jawap pada tiap transaksi di permudah sampai barang juga tepat waktu. puas lah 👍👍👍❤️🇮🇩,positif,layan baik belanja online mudah aplikasi ribet tanggung jawap transaksi mudah barang puas
aplikasi nipu gua main game di blokzi malah di suruh beres sendiri tolol bet,negatif,aplikasi nipu main game blokzi suruh beres tolol bet
kejujuran lebih baik agar usaha laris manis 🤲🤲 amin robal alamin,positif,jujur usaha laris manis amin robal alamin
"pelayanannya sangat bagus, bahan dan model sesuai dengan gambar, Adem, semoga selalu amanah, kurirnya juga Gercep, baik👍",positif,layan bagus bahan model sesuai gambar adem moga amanah kurir gercep baik
Jan di download aplikasi penipu,negatif,jan download aplikasi tipu
pertahankan kinerjanya agar menjadi lebih baik,positif,tahan kerja
membantu sekali,positif,bantu
selalu puas dengan pelayanan shopee,positif,puas layan shopee
baguuss,positif,baguuss
hari yang mantap 👍,positif,mantap
"semua all shop nya ok, tp game shopee, pblian pulsa tdk bisa di buka , info bisa solusinya dunk",positif,all shop nya tuju tp game shopee pblian pulsa tdk buka info solusi dunk
belanja online di shopee itu keren karena sesuatu dengan pesanan tapi penilaian orang lain kok jelek ya???😁👍🤭😃😃,positif,belanja online shopee keren pesan nilai orang jelek ya
bagus sekali,positif,bagus
"seller di shopee rata2 bagus apalagi shopee mall, tapi masalah di shopee ada pada kurir spx-nya yg suka menunda pengiriman tanpa konfirmasi ke buyer dan membuat ket seakan akan buyer yg meminta penjadwal ulang dan paling parahnya lg kurir mengembalikan paket ke seller tanpa konfirmasi ke buyer",netral,seller shopee bagus shopee mall shopee kurir spxnya suka tunda kirim konfirmasi buyer ket akan buyer jadwal ulang parah kurir kembali paket seller konfirmasi buyer
senang,positif,senang
"enak sih hidup di jaman digital ini, kita duduk manis di rumah semua kebutuhan ada di shopee.",positif,enak sih hidup jaman digital duduk manis rumah butuh shopee
selalu puas,positif,puas
aduh saya kasih bintang 3 dulu masa kalo bayar nya di Indomaret gak dapet gratis ongkir Ama diskon trus kalo cod bisa Napa bisa gitu dah,netral,aduh kasih bintang bayar nya indomaret dapet gratis ongkir ama diskon trus cod dah
"ga usah di adain lah hemat kargo kalo luar pulau jawa, aku udah bebrapa kali pesan disini ga sampai terus, udah 3 smpai 5 kali pake yg hemat gagal terus",negatif,adain hemat kargo pulau jawa udah bebrapa kali pesan udah smpai kali pake hemat gagal
sangat membantu keperluan sehari² terimakasih,positif,bantu perlu hari terimakasih
"bermanfaat, dn mempermudah perbelanjaan",positif,manfaat dn mudah belanja
kadang gambar barang tidak keluar,positif,kadang gambar barang
sangat senang berbelanja di Shopee.. Terima kasih,positif,senang belanja shopee terima kasih
cape iklan nya dia mulu,negatif,capai iklan nya mulu
shopee is the best,positif,shopee is the best
harga terjangkau layanan n pengiriman cepat Shopee sy suka n puass... 👍👍👍🥰🥰,positif,harga jangkau layan kirim cepat shopee sy suka puass
5 bintang untuk shopee,positif,bintang shopee
mengaktifkan fitur spaylaternya gak bisa SMA sekali selalu di tolak udah nungguin lama tetap ajk di tolak fitur yang ada di shopee ajgak bisa ke buka atau mengaktifkan fitur spaylaternya tersebut karena sya udah berapa kali mencoba dan tungguin waktu yang lama Sam ajk tetap di tolak hati² yang baruu pengguna shopee data kalian,negatif,aktif fitur spaylaternya sma tolak udah nungguin ajk tolak fitur shopee ajgak buka aktif fitur spaylaternya sya udah kali coba tungguin sam ajk tolak hati baruu guna shopee data
hoyakopimahalehula,positif,hoyakopimahalehula
saya kasih bintang dua karena tiap kali buka aplikasi langsung muncul Video dan itu ngeselin banget ..,negatif,kasih bintang kali buka aplikasi langsung muncul video ngeselin
wooow,positif,wooow
terimakasih,positif,terimakasih
ya ffrt TTW,netral,ya ffrt ttw
seharus nya shope sekarang mencantumkan nomor handphone/ WhatsApp Kurir agar mempermudah dalam pengambilan paket,positif,harus nya shope cantum nomor handphone whatsapp kurir mudah ambil paket
banyak diskon ny,positif,diskon ny
"dari tadi pagi sekitar jam setengah 2 sampai sekarang masih gak bisa dibuka, shopee benerin donk, aq mw lihat pesanan q",negatif,pagi jam buka shopee benerin donk mw lihat pesan q
Aplikasi ya semakin di depan,positif,aplikasi ya
sangat memudahkan belanja keperluan primer dan sekunder,positif,mudah belanja perlu primer sekunder
mantap shopee,positif,mantap shopee
murahh,positif,murahh
Ok,positif,tuju
i love shopee,positif,i love shopee
mantap tp minus gak bisa pake metode pembayaran dana,positif,mantap tp minus pake metode bayar dana
"buat shoppe gausah monopoli deh, kurir spx lu ga profesional banget masa kirim paket sampe.seminggu, dan di.menu gaada pilihan lain selain kurir spx, jahat banget gamau.kalah saing",negatif,shoppe gausah monopoli deh kurir spx lu profesional kirim paket sampeseminggu menu gaada pilih kurir spx jahat gamaukalah saing
aplikasi nya cocok buat yang lagi hematt aplikasinya mudah digunakan,positif,aplikasi nya cocok hematt aplikasi mudah
seru,positif,seru
untung banget ada ahopee belanja onlen murah dan amanah makasi app shopee,positif,untung ahopee belanja onlen murah amanah makas app shopee
baik bgt,positif,banget
selalu puas belanja di shopeeee.. the best pokoknya👌👌,positif,puas belanja shopeeee the best pokok
puas banget pake Shopee tidak mengecewakan,positif,puas pake shopee kecewa
Sesuai,positif,sesuai
"biasanya paket datang 2 hari setelah ceck out paling lamban 3 hari lah 3x transaksi belakangan ini malah 4 hari , paket dateng pasti penyok , lalu pas paket udh di sortir dari dc tujuan datang pasti malam dan paginya ketika udh di ambil kurir baru nganter sore ke rmh niat kerja ga sih ??? jd ga heran kalo banyak yg banding2in sama jasa kirim sebelah bubarin aja kalo ga niat kerja masih banyak yg butuh kerjaan",negatif,paket ceck out lamban x transaksi paket dateng penyok pas paket sortir dc tuju malam pagi ambil kurir nganter sore rumah niat kerja sih heran bandingin jasa kirim belah bubarin niat kerja butuh kerja
bagus selalu amanah pertahankan bosskuuh,positif,bagus amanah tahan bosskuuh
Bisa beli semuanya di shopee🤩🥳,positif,beli shopee
Banyak gratis ongkirnya,positif,gratis ongkirnya
sayabpernah pesan barang ...barangnya yg salah trus saya kembalikan masak saya yg di Ben ga bisa cod,positif,sayabpernah pesan barang barang salah trus kembali masak ben cod
shopee memang mantap👍,positif,shopee mantap
Terima kasih ya pesanan udah sampai dengan baik,positif,terima kasih ya pesan udah
Sangat Terbantu.. Harga Terjangkau Pengiriman Cepat,positif,bantu harga jangkau kirim cepat
