text,score,timestamp
good,5,2025-10-19 13:13:15
ok,5,2025-10-19 13:12:09
bagus,5,2025-10-19 13:11:55
good,5,2025-10-19 13:10:55
pelacakan barang mudah dan ongkir murh,5,2025-10-19 13:10:29
"bagus,tapiii berat banget aplikasinya",4,2025-10-19 13:10:21
bagus,5,2025-10-19 13:09:57
shopee bokep paket gwe dah lebih dari 2minggu gak datang datang mana barang²nya diaini mahal lagi mending beli ditiktok lebih murah lebih cepat,1,2025-10-19 13:09:48
"ga lagi lagi deh pake aplikasi ini, pengembalian dana nya lama,ribet,udah lewat tanggal yg di tentukan tetap saja belum di kembalikan dana saya,ga bakalan deh saya pake aplikasi ini lagi,ribet nyaa ga ketolong,cuman mau ngasih pesen ke admin kembalikan dana saya",1,2025-10-19 13:09:31
saya suka,5,2025-10-19 13:08:29
belanja jadi mudah dan aman,5,2025-10-19 13:07:44
playanan ok skarang tambah tame spx tambah lemot kbnyakan orderan,5,2025-10-19 13:07:37
bagus amanah,5,2025-10-19 13:04:57
good,5,2025-10-19 13:04:56
shoope memang berguna,5,2025-10-19 13:04:49
pokoknya sejak ada Shopi semua yg susah jd mudah selama ini apa2 mau ke pasar sekrng ada semua dishopi TKS bagi yg sudah buat aplikasi ini,5,2025-10-19 13:04:05
"Shopee tolong diperbaiki, aplikasinya sangat berat, padahal data aman tapi enggak bisa karena aplikasi Shopee berat banget",1,2025-10-19 13:04:00
mantapp,5,2025-10-19 13:03:15
sudah kesekian kali dikecewakan lazada. ternyata pihak lazada tidak teliti dengan seleranya yg kebanyakan penipu. pesen apa yg datang lain.udah gitu proses pengembalian juga ribet Padahal sudah ikut prosedur. nyatanya tetap saja tidak bisa diproses dengan sangat menyesal keluarga besar ku dan hampir satu kampungku uninstal lazada karena para warga juga sama merasa ditipu,1,2025-10-19 13:02:11
ahhhhh ketagihan belanja di oyennn.,5,2025-10-19 13:01:37
kenapa sekarang jadi susah log in di shopee,3,2025-10-19 13:01:28
shopee terbaik di indonesia,4,2025-10-19 13:01:19
proses pengembalian dana cepat ketika komplain barang rusak.,5,2025-10-19 13:01:04
mantap,5,2025-10-19 13:00:26
makin update makin sampah,1,2025-10-19 12:59:11
"bisa bisanya ampir kenak tipu mengatas namakan shopee,mereka tau dari ulasan,untung sepupu kurir jdi tau ini penipuan,yakin dari shopee karna dia ngirim fto barang yg kuulas dishopee",2,2025-10-19 12:59:09
belanja di shopee mantap gk pernah kecewa selama belanja di Shopee. Terima kasih Shopee,5,2025-10-19 12:58:21
pokok e joss shopee indonesia,5,2025-10-19 12:55:41
mantap barang dn waktu kirim betul betul mantap,4,2025-10-19 12:55:39
simpel . murah asal amanah selamanya,5,2025-10-19 12:54:36
Mantap ☺️,5,2025-10-19 12:54:12
bagus,5,2025-10-19 12:52:43
kalau menurut aku. Selama aku belanja online di shopee gk pernah ngecewain sama sekali ya👍👍,5,2025-10-19 12:52:24
membantu kita,4,2025-10-19 12:51:55
"sangat membantu mencari kebutuhan ,,lebih simpel,praktis,dll",5,2025-10-19 12:50:48
sekarang mw cek out susah banget bnyk bgt larangan nya,4,2025-10-19 12:49:08
sekarang shoope banyak penipu .saya udah berapa kali pesan produk tapi barang nya kosong tolong pihak shoope di tindak lanjuti,1,2025-10-19 12:48:45
s pinjam nya ga bisa di aktifasi percuma maaf aku hapus saja apk nya,1,2025-10-19 12:47:51
good,5,2025-10-19 12:47:14
mudah..,5,2025-10-19 12:46:07
Shopee i LIKE it,5,2025-10-19 12:45:46
👍👍👍👍👍,5,2025-10-19 12:43:26
mantab murah² barang nya,5,2025-10-19 12:43:15
sudah langganan belanja menggunakan Sophie.,5,2025-10-19 12:42:04
mantap penampilannya,5,2025-10-19 12:40:28
aplikasi yang sangat membantu. sejak ada shopee jadi lebih hemat krn lebih murah dari toko offline.,5,2025-10-19 12:40:08
sampah scam penipu,1,2025-10-19 12:40:00
baik,5,2025-10-19 12:39:32
seringw gratis ongkir...,5,2025-10-19 12:39:19
"sejauh ini aman dan terpercaya, memudahkan berbelanja 👍👍",5,2025-10-19 12:36:30
sangat membantu dan sesuai dgn harapan 👍👍👍👍👍,5,2025-10-19 12:36:27
sangat bagus,5,2025-10-19 12:34:01
dapat mempermuda belanja apa aja. semoga aja gak ada penipu nya sperti aplikasi lain,4,2025-10-19 12:33:24
terpercaya sih,5,2025-10-19 12:32:39
kim?,1,2025-10-19 12:31:48
memudahkan untuk belanja,5,2025-10-19 12:30:07
Baik,5,2025-10-19 12:29:15
saya sangat menyukai shope tp tolong app nya jgn berat,5,2025-10-19 12:29:13
ok,5,2025-10-19 12:28:59
"Pasarnya Pasar, pokoknya mbak shopee Te O Pe",5,2025-10-19 12:27:23
pengiriman lama untuk diluar kota Kalimantan malah lewat estimasi pengiriman mohon kepada pihak shopee setiap pengiriman harus dipercepat apalagi saat checkout mode pembayaran via transfer tetapi barang lama sampai saya sudah beberapa kali mengalami barang lama sampai tiba-tiba di returd dengan catatan penerima menolak menerima paket padahal paket tersebut belum sampai dialamat tujuan mohon kepada pihak shopee setiap ada pengiriman barang dipercepat proses pengirimannya,2,2025-10-19 12:26:18
pelayanan terbaik belanja online mudah di aplikasikan ga ribet bertanggung jawap pada tiap transaksi di permudah sampai barang juga tepat waktu. puas lah 👍👍👍❤️🇮🇩,5,2025-10-19 12:26:10
aplikasi nipu gua main game di blokzi malah di suruh beres sendiri tolol bet,1,2025-10-19 12:24:46
kejujuran lebih baik agar usaha laris manis 🤲🤲 amin robal alamin,4,2025-10-19 12:24:00
"pelayanannya sangat bagus, bahan dan model sesuai dengan gambar, Adem, semoga selalu amanah, kurirnya juga Gercep, baik👍",5,2025-10-19 12:23:31
Jan di download aplikasi penipu,1,2025-10-19 12:22:46
pertahankan kinerjanya agar menjadi lebih baik,5,2025-10-19 12:21:14
membantu sekali,5,2025-10-19 12:20:47
selalu puas dengan pelayanan shopee,5,2025-10-19 12:20:40
baguuss,5,2025-10-19 12:20:34
hari yang mantap 👍,5,2025-10-19 12:20:02
sangat bagus,5,2025-10-19 12:19:34
"semua all shop nya ok, tp game shopee, pblian pulsa tdk bisa di buka , info bisa solusinya dunk",5,2025-10-19 12:19:20
good,5,2025-10-19 12:19:03
belanja online di shopee itu keren karena sesuatu dengan pesanan tapi penilaian orang lain kok jelek ya???😁👍🤭😃😃,5,2025-10-19 12:18:01
bagus sekali,5,2025-10-19 12:16:24
"seller di shopee rata2 bagus apalagi shopee mall, tapi masalah di shopee ada pada kurir spx-nya yg suka menunda pengiriman tanpa konfirmasi ke buyer dan membuat ket seakan akan buyer yg meminta penjadwal ulang dan paling parahnya lg kurir mengembalikan paket ke seller tanpa konfirmasi ke buyer",3,2025-10-19 12:16:03
👍,5,2025-10-19 12:14:38
senang,5,2025-10-19 12:14:14
"enak sih hidup di jaman digital ini, kita duduk manis di rumah semua kebutuhan ada di shopee.",5,2025-10-19 12:13:52
selalu puas,5,2025-10-19 12:11:53
puas,5,2025-10-19 12:11:31
aduh saya kasih bintang 3 dulu masa kalo bayar nya di Indomaret gak dapet gratis ongkir Ama diskon trus kalo cod bisa Napa bisa gitu dah,3,2025-10-19 12:10:02
mantap,5,2025-10-19 12:09:47
"ga usah di adain lah hemat kargo kalo luar pulau jawa, aku udah bebrapa kali pesan disini ga sampai terus, udah 3 smpai 5 kali pake yg hemat gagal terus",1,2025-10-19 12:09:07
sangat membantu keperluan sehari² terimakasih,5,2025-10-19 12:08:46
"bermanfaat, dn mempermudah perbelanjaan",5,2025-10-19 12:08:01
baik,5,2025-10-19 12:06:32
kadang gambar barang tidak keluar,4,2025-10-19 12:05:52
sangat senang berbelanja di Shopee.. Terima kasih,5,2025-10-19 12:05:51
cape iklan nya dia mulu,1,2025-10-19 12:05:00
𝑠𝑒𝑚𝑎𝑛𝑔𝑎𝑡 𝑦𝑎𝑎,5,2025-10-19 12:04:13
shopee is the best,5,2025-10-19 12:03:44
harga terjangkau layanan n pengiriman cepat Shopee sy suka n puass... 👍👍👍🥰🥰,5,2025-10-19 12:03:16
5 bintang untuk shopee,5,2025-10-19 12:01:52
mengaktifkan fitur spaylaternya gak bisa SMA sekali selalu di tolak udah nungguin lama tetap ajk di tolak fitur yang ada di shopee ajgak bisa ke buka atau mengaktifkan fitur spaylaternya tersebut karena sya udah berapa kali mencoba dan tungguin waktu yang lama Sam ajk tetap di tolak hati² yang baruu pengguna shopee data kalian,1,2025-10-19 12:00:50
hoyakopimahalehula,5,2025-10-19 12:00:00
saya kasih bintang dua karena tiap kali buka aplikasi langsung muncul Video dan itu ngeselin banget ..,2,2025-10-19 11:59:40
wooow,5,2025-10-19 11:57:41
terimakasih,5,2025-10-19 11:56:04
ya ffrt TTW,3,2025-10-19 11:55:08
seharus nya shope sekarang mencantumkan nomor handphone/ WhatsApp Kurir agar mempermudah dalam pengambilan paket,4,2025-10-19 11:54:45
banyak diskon ny,5,2025-10-19 11:54:34
baik,5,2025-10-19 11:53:47
"dari tadi pagi sekitar jam setengah 2 sampai sekarang masih gak bisa dibuka, shopee benerin donk, aq mw lihat pesanan q",1,2025-10-19 11:52:27
Aplikasi ya semakin di depan,5,2025-10-19 11:45:31
sangat memudahkan belanja keperluan primer dan sekunder,5,2025-10-19 11:38:31
mantap shopee,5,2025-10-19 11:38:26
murahh,5,2025-10-19 11:37:45
Ok,5,2025-10-19 11:37:12
i love shopee,5,2025-10-19 11:36:25
mantap tp minus gak bisa pake metode pembayaran dana,5,2025-10-19 11:34:26
"buat shoppe gausah monopoli deh, kurir spx lu ga profesional banget masa kirim paket sampe.seminggu, dan di.menu gaada pilihan lain selain kurir spx, jahat banget gamau.kalah saing",1,2025-10-19 11:34:09
aplikasi nya cocok buat yang lagi hematt aplikasinya mudah digunakan,5,2025-10-19 11:34:00
seru,5,2025-10-19 11:33:56
untung banget ada ahopee belanja onlen murah dan amanah makasi app shopee,5,2025-10-19 11:33:21
baik bgt,5,2025-10-19 11:32:14
selalu puas belanja di shopeeee.. the best pokoknya👌👌,5,2025-10-19 11:29:48
puas banget pake Shopee tidak mengecewakan,5,2025-10-19 11:28:51
Sesuai,5,2025-10-19 11:27:18
"biasanya paket datang 2 hari setelah ceck out paling lamban 3 hari lah 3x transaksi belakangan ini malah 4 hari , paket dateng pasti penyok , lalu pas paket udh di sortir dari dc tujuan datang pasti malam dan paginya ketika udh di ambil kurir baru nganter sore ke rmh niat kerja ga sih ??? jd ga heran kalo banyak yg banding2in sama jasa kirim sebelah bubarin aja kalo ga niat kerja masih banyak yg butuh kerjaan",1,2025-10-19 11:27:04
bagus banget,5,2025-10-19 11:26:58
bagus selalu amanah pertahankan bosskuuh,4,2025-10-19 11:25:54
Bisa beli semuanya di shopee🤩🥳,5,2025-10-19 11:25:40
mantap,5,2025-10-19 11:25:33
Banyak gratis ongkirnya,5,2025-10-19 11:24:24
𝐵𝑎𝑔𝑢𝑠,4,2025-10-19 11:23:52
sayabpernah pesan barang ...barangnya yg salah trus saya kembalikan masak saya yg di Ben ga bisa cod,5,2025-10-19 11:20:15
terimakasih,5,2025-10-19 11:17:19
shopee memang mantap👍,5,2025-10-19 11:17:07
Terima kasih ya pesanan udah sampai dengan baik,5,2025-10-19 11:16:46
bagus,5,2025-10-19 11:16:12
Sangat Terbantu.. Harga Terjangkau Pengiriman Cepat,5,2025-10-19 11:15:16
Shopee food bisa memudahkan segala urusan 👍,5,2025-10-19 11:14:27
"apk yg menarik,mempermudah perbelanjaan.",5,2025-10-19 11:13:36
"pengunaan data terlalu boros. tambahkan opsi kualitas vidio (opsional di pengaturan) agar lebih menghemat data. saat pertama masuk ke aplikasi terkadang langsung ke video yang di putar, mengganggu niat awal yang ingin mencari barang.",4,2025-10-19 11:13:06
"minus nya di Kurir Kenapa? Susah ga ada No yang bisa di Hub juga . Di kota MH Kurir ngeluh sama customer karna ada yang gamau bayar ada Yang ga ngerasa pesen, ini MH asli di tungguin Dari waktu pemesanan sampe Datang juga Bukan Minus dari customer tapi minusnya dari Kurir",2,2025-10-19 11:12:30
